,Title,Created at,Vendor,URL,Product Type,variants_title,SKU,Price,ComparePrice
37,Google Nest Cam (battery) + Solar Panel + Google Nest Hub Max + Adjustable Stand Bundle | Made for Google Nest,2021-08-26T09:27:19-07:00,Wasserstein,google-nest-cam-battery-solar-panel-google-nest-hub-max-adjustable-stand-bundle-made-for-google-nest,MFG-Bundle-NCb-Solar-HubM,Default Title,NstCb1So1HubM1WStW,399.99,497.99
38,Google Nest Cam (battery) + Anti-Theft Mount + Google Nest Hub Max + Adjustable Stand Bundle | Made for Google Nest,2021-08-26T09:34:34-07:00,Wasserstein,google-nest-cam-battery-anti-theft-mount-google-nest-hub-max-adjustable-stand-bundle-made-for-google-nest,MFG-Bundle-NCb-Ant-HubM,2-Pack,NstCb2An2HubM1WStW,499.99,617.99
39,Google Nest Cam (battery) + 3-in-1 Floodlight + Google Nest Hub Max + Adjustable Stand Bundle | Made for Google Nest,2021-08-26T09:29:03-07:00,Wasserstein,copy-of-google-nest-cam-battery-3-in-1-floodlight-google-nest-hub-max-adjustable-stand-bundle-made-for-google-nest,MFG-Bundle-NCb-Fld-HubM,Default Title,NstCb1Fd1HubM1WStW,409.99,507.99
40,"Wasserstein 2-in-1 Universal Gutter Mount for Camera & Solar Panel for Wyze, Blink, Ring, Arlo, Eufy Camera",2021-08-24T00:40:07-07:00,Wasserstein,wasserstein-2-in-1-universal-gutter-mount-for-wyze-blink-ring-arlo-eufy-camera-mount-your-security-cam-and-solar-panel-together,Uni-Solar-Gutter-Mount,White,UnivGutterMountWhtUS,17.99,
41,"Wasserstein Travel Bag for Sony PlayStation 5 & Microsoft Xbox Series S - Carrying Case with Durable, Padded and Customizable Interior for PS5 & Xbox",2021-08-18T20:36:16-07:00,Wasserstein,wasserstein-travel-bag-for-sony-playstation-5-microsoft-xbox-series-s-carrying-case-with-durable-padded-and-customizable-interior-for-ps5-xbox,PS5-Travel-Bag-Accessories,Default Title,PS5TravelBagUS,54.99,68.99
42,Wasserstein Adjustable Elite Head Strap for Oculus Quest 2,2021-08-18T03:23:47-07:00,Wasserstein,wasserstein-adjustable-elite-head-strap-for-oculus-quest-2,Oculus-Quest-2-Accessories,Default Title,OculusQuest2HeadStrapUS,41.99,
43,Wasserstein AC Outlet Wall Mount for Wyze Cam V3 - Reliable mounting Alternative for Your Wyze Cameras (White),2021-08-17T23:44:10-07:00,Wasserstein,wasserstein-ac-outlet-wall-mount-compatible-with-wyze-v3-camera-reliable-mounting-alternative-for-your-wyze-cameras-white,camera-indoor-ac mount,Default Title,WyzeV3CamACMountWhtUS,9.99,12.99
44,"Wasserstein 3-in-1 Floodlight, Charger and Mount Compatible with Wyze Cam V3 (White) + 32GB Micro SD Card Included (Camera NOT Included)",2021-08-12T02:58:33-07:00,Wasserstein,wasserstein-3-in-1-floodlight-charger-and-mount-compatible-with-wyze-cam-v3-white-32gb-micro-sd-card-included-camera-not-included,WyzeV3-Flood-SD,Default Title,WyzeCamV3FldLightWhtUS+SD,59.99,65.99
45,Google Nest Cam (battery) + Anti-Theft Mount Bundle | Made for Google Nest,2021-08-10T20:27:39-07:00,Wasserstein,google-nest-cam-battery-anti-theft-mount-bundle-made-for-google-nest,MFG-Bundle-NCb-AnMt,3-Pack,NestCamb3AnMt3,449.99,554.99
46,Dartwood 16000mAh Solar Power Bank - Qi Portable Wireless Solar Panel Phone Charger with USB Type C Input for Apple iPhone and Android Phones,2021-08-09T03:58:51-07:00,Dartwood,dartwood-16000mah-solar-power-bank-qi-portable-wireless-solar-panel-phone-charger-with-usb-type-c-input-for-apple-iphone-and-android-phones,Dart-Solar-Power-Bank,Default Title,SolarPowerBankUS,45.99,59.69
47,Wasserstein Charging Station for Google Nest Cam (battery) - Dual Charging Slot for Nest Cam,2021-08-06T05:42:42-07:00,Wasserstein,wasserstein-charging-station-compatible-with-google-nest-cam-battery-dual-charging-slot-for-nest-cam,NCb-Charge-Station,Default Title,NestCam2ChargingStationUS,39.99,
48,Google Nest Doorbell (battery) + Solar Panel Bundle | Made for Google Nest,2021-08-06T03:26:43-07:00,Wasserstein,google-nest-doorbell-battery-solar-panel-bundle-made-for-google,MFG-Bundle-NDb-Solar,Ivy,NestDBb1GnSo1,174.99,229.99
49,Google Nest Doorbell (battery) + Vertical Mount Bundle | Made for Google Nest,2021-08-06T03:17:16-07:00,Wasserstein,google-nest-doorbell-battery-vertical-mount-bundle-made-for-google,MFG-Bundle-NDb-VerMnt,Ivy,NestDBb1GnVeMt1,141.99,194.99
50,Google Nest Doorbell (battery) + Horizontal Mount Bundle | Made for Google Nest,2021-08-06T03:11:55-07:00,Wasserstein,google-nest-doorbell-battery-horizontal-mount-bundle-made-for-google,MFG-Bundle-NDb-HorMnt,Ivy,NestDBb1GnHoMt1,141.99,194.99
51,Google Nest Cam (battery) + Charging Station Bundle | Brand New,2021-08-06T02:37:50-07:00,Wasserstein,google-nest-cam-battery-dual-charging-station-bundle-made-for-google,MFG-Bundle-NCb-Bc,2-Pack,NestCamb2Bc1,309.99,379.99
52,Wasserstein 0° to 10° Vertical Adjustable Angle Mount and Wall Plate Compatible with Ring Video Doorbell Wired,2021-08-05T23:25:57-07:00,Wasserstein,wasserstein-0-to-10-vertical-adjustable-angle-mount-and-wall-plate-compatible-with-ring-video-doorbell-wired,Ring-DB-Vertical-Wedge-Wallplate,Default Title,RingDBBatVerWdg+WlPltBlkUS,17.99,
53,Wasserstein 35° to 55° Horizontal Adjustable Angle Mount and Wall Plate Compatible with Ring Video Doorbell Wired,2021-08-05T23:45:17-07:00,Wasserstein,wasserstein-35-to-55-horizontal-adjustable-angle-mount-and-wall-plate-compatible-with-ring-video-doorbell-wired,Ring-DB-Horizontal-Wedge-Wallplate,Default Title,RingDBBatHorWdg+WlPltBlkUS,16.99,
54,Google Nest Cam (battery) + 3-in-1 Floodlight Bundle | Made for Google Nest,2021-08-06T02:21:15-07:00,Wasserstein,google-nest-cam-battery-3-in-1-floodlight-bundle-made-for-google,MFG-Bundle-NCb-Fld,2-Pack,NestCamb2Fld2,379.99,469.99
55,Google Nest Cam (battery) + Premium Solar Panel Bundle | Made for Google Nest,2021-08-06T02:07:13-07:00,Wasserstein,google-nest-cam-battery-premium-solar-panel-bundle-made-for-google,MFG-Bundle-NCb-PSolar,3-Pack,NestCamb3PSo3,569.99,749.99
56,Google Nest Cam (battery) + Solar Panel Bundle | Made for Google Nest,2021-08-06T01:38:55-07:00,Wasserstein,google-nest-cam-battery-solar-panel-bundle-made-for-google,MFG-Bundle-NCb-Solar,3-Pack,NestCamb3BSo3,539.99,689.99
57,Wasserstein Wall Plate Compatible with Arlo Essential Wire-Free Video Doorbell- A Nice & Clean Finish for The Arlo Essential Doorbell (Black),2021-08-05T20:40:22-07:00,Wasserstein,wasserstein-wall-plate-compatible-with-arlo-essential-wire-free-video-doorbell-a-nice-clean-finish-for-the-arlo-essential-doorbell-black,Arlo-Ess-Doorbell-Wallplate,Default Title,ArloEssDBWallPlateUS,12.99,22.49
58,"Wasserstein 3-in-1 Floodlight, Charger, and Mount for Google Nest Cam (battery) - Made for Google Nest",2021-08-05T00:54:12-07:00,Wasserstein,wasserstein-premium-solar-panel-for-google-nest-cam-battery-with-5-3w-solar-power-made-for-google-nest,MFG-NCb-Floodlight,Default Title,NestOut2FldLightWhtUSA,69.99,
59,Wasserstein Solar Panel for Google Nest Doorbell (battery) with 1.7W Solar Power - Made for Google Nest,2021-08-05T03:19:54-07:00,Wasserstein,wasserstein-solar-panel-for-google-nest-doorbell-battery-with-1-7w-solar-power-made-for-google-nest,MFG-NDb-Solar,Default Title,NestDBSolarUSA,49.99,
60,Wasserstein PoE Adapter for Google Nest Cam (battery) - Made for Google Nest,2021-08-05T03:09:37-07:00,Wasserstein,wasserstein-poe-adapter-for-google-nest-cam-battery-made-for-google-nest,MFG-NCb-PoE,Default Title,NestOut2PoEWhtUSA,29.99,
61,Wasserstein Wall Plate for Google Nest Doorbell (battery) - Made for Google Nest,2021-08-05T03:02:37-07:00,Wasserstein,wasserstein-wall-plate-for-google-nest-doorbell-battery-made-for-google-nest,MFG-NDb-Plate,Default Title,NestDB2BattPltBlkUSA,12.99,
62,Wasserstein Anti-Theft Mount for Google Nest Cam (battery) - Made for Google Nest,2021-08-05T02:43:05-07:00,Wasserstein,wasserstein-anti-theft-mount-for-google-nest-cam-battery-made-for-google-nest,MFG-NCb-AntiTheft,Default Title,NestOut2ThefWhtN,14.99,
63,Wasserstein Vertical Adjustable Mount for Google Nest Doorbell (battery) - Made for Google Nest,2021-08-05T02:35:19-07:00,Wasserstein,wasserstein-vertical-adjustable-mount-for-google-nest-doorbell-battery-made-for-google-nest,MFG-NDb-VerMnt,Default Title,NestDB2VerMtBlkUSA,14.99,
64,Wasserstein Horizontal Adjustable Mount for Google Nest Doorbell (battery) - Made for Google Nest,2021-08-05T01:13:37-07:00,Wasserstein,wasserstein-horizontal-adjustable-mount-for-google-nest-doorbell-battery-made-for-google-nest,MFG-NDb-HotMnt,Default Title,NestDB2HorMtBlkUSA,14.99,
65,Wasserstein Solar Panel for Google Nest Cam (battery) with 2.5W Solar Power - Made for Google Nest,2021-08-05T01:24:10-07:00,Wasserstein,wasserstein-solar-panel-for-google-nest-cam-battery-with-2-5w-solar-power-made-for-google-nest,MFG-NCb-BaseSolar,Default Title,NestOut2SolarWhtUSA,59.99,
66,Wasserstein Premium Solar Panel for Google Nest Cam (battery) with 3.5W Solar Power - Made for Google Nest,2021-08-05T01:58:52-07:00,Wasserstein,wasserstein-premium-solar-panel-for-google-nest-cam-battery-with-5-3w-solar-power-made-for-google-nest-1,MFG-NCb-PremSolar,Default Title,NestOut2PremSolarWhtUSA,79.99,
67,"Dartwood Stainless Steel Pasta Maker - Manual Pasta Roller, Pasta Cutter Machine with Hand Crank",2021-07-27T20:00:26-07:00,Dartwood,dartwood-stainless-steel-pasta-maker-manual-pasta-roller-pasta-cutter-machine-with-hand-crank,Dart-Pasta-Maker,Default Title,PastaMakerUS,73.99,93.99
